name,gender,school_website,personal_website,field,paper_name,chair,year,school,department,cv_link,dissertation
Yoshiki Ando,male,https://economics.sas.upenn.edu/people/yoshiki-ando,https://www.yoshikiando.com,"Macroeconomics, Innovation, Firm Dynamics, Financial Frictions",Dynamics of High-Growth Young Firms and the Role of Venture Capitalists,Jeremy Greenwood,2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2024-02/CV_YoshikiAndo_0208.pdf,
Paweł Bednarek,male,https://economics.sas.upenn.edu/people/pawel-bednarek,https://www.pawelbednarek.com/,"Financial Innovation, Macroeconomics, Blockchain",Bitcoin's Achilles Heel - Transition from Block Rewards to Fees,Urban Jermann,2024,University of Pennsylvania,Economics,https://l.linklyhq.com/l/1ud3Q,
Priyanka Goonetilleke,female,https://economics.sas.upenn.edu/people/priyanka-goonetilleke,https://www.pgoonetilleke.com/,"Law and Economics, Economics of Crime and Labor Economics",Judicial Bias Against Minority and Female Attorneys,Hanming Fang,2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2023-09/CV_Priyanka_Goonetilleke_2023.pdf,
Leon Huetsch,male,https://economics.sas.upenn.edu/people/leon-huetsch,http://www.leonhuetsch.com,"Macroeconomics, Labor Economics, Inequality, Technological Change",Technological Change and Unions: An Intergenerational Conflict with Aggregate Impact,Dirk Krueger,2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2024-04/cv.pdf,
Kathleen Hui,female,https://economics.sas.upenn.edu/people/kathleen-hui,https://www.kathleenhui.com,"Health, Industrial Organization",The Impact of a Vape Ban on Cigarette Smoking and Life Expectancy,Aviv Nevo,2024,University of Pennsylvania,Economics,https://www.kathleenhui.com/cv,
Min Kim,andy,https://economics.sas.upenn.edu/people/min-kim,https://www.min-kim.net/,"Macroeconomics, Household Finance, Financial Literacy","Financial Literacy, Portfolio Choice, and Wealth Inequality: A General Equilibrium Approach","Dirk Krueger, Olivia S. Mitchell",2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2023-11/MinKim_CV.pdf,
Artem Kuriksha,male,https://economics.sas.upenn.edu/people/artem-kuriksha,https://kuriksha.com,"Applied Microeconomics, Industrial Organization, Computational Economics",Illegal Drug Use and Government Policy: Evidence from a Darknet Marketplace,Andrew Shephard,2024,University of Pennsylvania,Economics,https://kuriksha.com/cv.pdf,
Aaron Mora,male,https://economics.sas.upenn.edu/people/aaron-mora,https://moraaaron.com/,"Econometrics, Financial Economics, Industrial Organization",Revealed Preference for Green Stocks: An Asset Demand Approach,"Francis X. Diebold, Frank Schorfheide",2024,University of Pennsylvania,Economics,https://moraaaron.com//media/CV_AaronMora.pdf,
Rodrigo A. Morales Mendoza,male,https://economics.sas.upenn.edu/people/rodrigo-morales-mendoza,https://moralesmendozar.com/,Macroeconomics,The Power of Good Neighbors: An Analysis of International Mobility,Jesus Fernandez-Villaverde,2024,University of Pennsylvania,Economics,https://penno365-my.sharepoint.com/:b:/g/personal/rodmo_upenn_edu/EYFFJjC2WYhEriq_g4MJWWUBlF08FJuNh3uGnksjLsN1bw?e=QjDwJc,
Joao Ritto,unknown,https://economics.sas.upenn.edu/people/joao-ritto,https://joaoritto.github.io,"Macroeconomics, Monetary Economics, Macro-Labor",Doing Without Nominal Rigidities: Real Effects of Monetary Policy in a Monetary World,José-Víctor Ríos-Rull,2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2023-10/CV_JR.pdf,
Juan Sagredo,male,https://economics.sas.upenn.edu/people/juan-sagredo,http://sagju.github.io,"Applied Theory, Theory, Political Economy",The Visible Hand: Price Discrimination under Heterogeneous Precision,Guillermo Ordonez,2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2023-10/cv_juan_sagredo.pdf,
German Sanchez Sanchez,male,https://economics.sas.upenn.edu/people/german-sanchez-sanchez,https://www.germansanchezsanchez.com,"Macroeconomics, Housing and Mortgage Finance, Financial Intermediation",Mortgage Choice and the Credit Guarantee,Guillermo Ordonez,2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2023-10/Sanchez%20Sanchez%20CV.pdf,
Shasha Wang,unknown,https://economics.sas.upenn.edu/people/shasha-wang,https://shashawang.wixsite.com/econ,"Gender, Education, Health, Labor",STEMming the Gender Gap in the Applied Fields: Where are the Leaks in the Pipeline?,Petra Todd,2024,University of Pennsylvania,Economics,https://economics.sas.upenn.edu/system/files/2023-10/CV_ShashaWang_department_website.pdf,
Zhemin Yuan,unknown,https://economics.sas.upenn.edu/people/zhemin-yuan,https://www.zheminyuan.com,"Empirical Microeconomics, Health Economics, Labor Economics, Public Economics","The Effects of the ACA on Pharmaceutical Prices, Demand and Innovation",Hanming Fang,2024,University of Pennsylvania,Economics,https://www.zheminyuan.com/cv,
