,name,position,department,year,university,year,academic,postdoc,employment type,gender_manual,thesis
0,Daniel Agness,Assistant Professor,ARE,2024.0,UC Berkeley,2023-2024,1,0,Academic,male,1
1,Pierre Biscaye,Chaire Professeur Junior,ARE,2024.0,UC Berkeley,2023-2024,0,0,Other,male,1
2,Jesse Buchsbaum,Fellow,ARE,2024.0,UC Berkeley,2023-2024,0,0,Fellow,male,1
3,Michelle Chen,Economist,ARE,2024.0,UC Berkeley,2023-2024,0,0,Economist,female,1
4,Daniel Kannell,Economist,ARE,2024.0,UC Berkeley,2023-2024,0,0,Economist,male,1
5,Subrata Kumar Ritadhi,Assistant Professor,ARE,2024.0,UC Berkeley,2023-2024,1,0,Academic,male,1
6,Leila Safavi,Post Doctoral Scholar (2024-25),ARE,2024.0,UC Berkeley,2023-2024,1,1,Academic,female,1
7,Jedediah Silver,Assistant Professor,ARE,2024.0,UC Berkeley,2023-2024,1,0,Academic,male,1
8,Livia Alfonsi,Assistant Professor,ARE,2023.0,UC Berkeley,2023-2024,1,0,Academic,female,1
9,Marshall Macdonald Blundell,Senior Consultant,ARE,2023.0,UC Berkeley,2023-2024,0,0,Consultant,male,0
10,Joel Ferguson,Post Doctoral Researcher,ARE,2023.0,UC Berkeley,2023-2024,1,0,Academic,male,0
11,Hal Gordon,Consultant,ARE,2023.0,UC Berkeley,2023-2024,0,0,Consultant,male,1
12,Wei Guo,Post-Doctoral scholar (2023-2025),ARE,2023.0,UC Berkeley,2023-2024,0,0,Other,female,0
13,Qingyang Huang,Assistant Professor,ARE,2023.0,UC Berkeley,2023-2024,1,0,Academic,male,1
14,Jenya Kahn-Lang,Post-Doctoral Scholar (2023-24),ARE,2023.0,UC Berkeley,2023-2024,1,1,Academic,male,1
15,Jaecheol Lee,Post Doctoral Researcher,ARE,2023.0,UC Berkeley,2023-2024,1,1,Academic,male,1
16,James E. Sayre,Assistant Professor of CE/Specialist in Food Supply Chains,ARE,2023.0,UC Berkeley,2023-2024,1,0,Academic,male,0
17,Wenjun Wang,Machine Learning Scientist,ARE,2023.0,UC Berkeley,2023-2024,0,0,Other,male,0
18,Eleanor Wiseman,Post-Doctoral Scholar (2023-2025),ARE,2023.0,UC Berkeley,2023-2024,0,0,Other,female,0
19,Bobby Harris,Assistant Professor,ARE,2023.0,UC Berkeley,2023-2024,1,0,Academic,male,0
20,Jesse Buchsbaum,Post Doctoral Scholar,ARE,2022.0,UC Berkeley,2023-2024,1,1,Academic,male,0
21,Yulei Shelley He,Economist,ARE,2022.0,UC Berkeley,2023-2024,0,0,Economist,female,0
22,Andrew Hultgren,Assistant Professor,ARE,2022.0,UC Berkeley,2023-2024,1,0,Academic,male,0
23,Wei Lin,Assistant Professor,ARE,2022.0,UC Berkeley,2023-2024,1,0,Academic,male,0
24,Wenfeng Qiu,Senior Economist,ARE,2022.0,UC Berkeley,2023-2024,0,0,Economist,male,0
25,James Sears,Assistant Professor,ARE,2022.0,UC Berkeley,2023-2024,1,0,Academic,male,0
26,Molly Van Dop Sears,Assistant Professor,ARE,2022.0,UC Berkeley,2023-2024,1,0,Academic,female,0
27,Matthew Suandi,Economist,ARE,2022.0,UC Berkeley,2023-2024,0,0,Economist,male,0
28,Matthew Tarduno,Post Doctoral Scholar (2022-2023 ),ARE,2022.0,UC Berkeley,2023-2024,0,0,Other,male,0
29,Carly Trachtman,Associate Research Fellow,ARE,2022.0,UC Berkeley,2023-2024,0,0,Fellow,female,0
30,Susanna Berkouwer,Assistant Professor,ARE,2021.0,UC Berkeley,2023-2024,1,0,Academic,female,0
31,Léopold Biardeau,"Attaché Temporaire d'Enseignement et de Recherche,",ARE,2021.0,UC Berkeley,2023-2024,0,0,Other,male,0
32,Claire Duquennois,Assistant Professor,ARE,2021.0,UC Berkeley,2023-2024,1,0,Academic,female,0
33,Kwabena Donkor,Assistant Professor,ARE,2021.0,UC Berkeley,2023-2024,1,0,Academic,male,0
34,Andy Hultgren,Post Doctoral Scholar,ARE,2021.0,UC Berkeley,2023-2024,1,1,Academic,male,0
35,Reid Johnsen,Research Data Specialist,ARE,2021.0,UC Berkeley,2023-2024,0,0,Other,male,0
36,Elisa Duran Micco,Post Doctoral Scholar,ARE,2021.0,UC Berkeley,2023-2024,1,1,Academic,female,0
37,David McLaughlin,Economist,ARE,2021.0,UC Berkeley,2023-2024,0,0,Economist,male,0
38,Matthew Pecenco,Assistant Professor,ARE,2021.0,UC Berkeley,2023-2024,1,0,Academic,male,0
